Viteza 1,Data
0.01,12:00:00 AM
0.01,12:00:10 AM
0.01,12:00:20 AM
0.01,12:00:30 AM
0.01,12:00:40 AM
0.01,12:00:50 AM
0.01,12:01:00 AM
0.03,12:01:10 AM
0.05,12:01:20 AM
0.07,12:01:30 AM
0.09,12:01:40 AM
0.11,12:01:50 AM
0.13,12:02:00 AM
0.15,12:02:10 AM
0.17,12:02:20 AM
0.19,12:02:30 AM
0.21,12:02:40 AM
0.23,12:02:50 AM
0.25,12:03:00 AM
0.27,12:03:10 AM
0.29,12:03:20 AM
0.31,12:03:30 AM
0.33,12:03:40 AM
0.35,12:03:50 AM
0.37,12:04:00 AM
0.39,12:04:10 AM
0.41,12:04:20 AM
0.43,12:04:30 AM
0.45,12:04:40 AM
0.47,12:04:50 AM
0.49,12:05:00 AM
0.51,12:05:10 AM
0.53,12:05:20 AM
0.55,12:05:30 AM
0.57,12:05:40 AM
0.59,12:05:50 AM
0.59,12:06:00 AM
0.59,12:06:10 AM
0.61,12:06:20 AM
0.59,12:06:30 AM
0.59,12:06:40 AM
0.61,12:06:50 AM
0.59,12:07:00 AM
0.59,12:07:10 AM
0.61,12:07:20 AM
0.59,12:07:30 AM
0.59,12:07:40 AM
0.61,12:07:50 AM
0.63,12:08:00 AM
0.59,12:08:10 AM
0.59,12:08:20 AM
0.61,12:08:30 AM
0.59,12:08:40 AM
0.59,12:08:50 AM
0.61,12:09:00 AM
0.59,12:09:10 AM
0.59,12:09:20 AM
0.61,12:09:30 AM
0.59,12:09:40 AM
0.61,12:09:50 AM
0.59,12:10:00 AM
0.59,12:10:10 AM
0.61,12:10:20 AM
0.59,12:10:30 AM
0.59,12:10:40 AM
0.61,12:10:50 AM
0.59,12:11:00 AM
0.56,12:11:10 AM
0.53,12:11:20 AM
0.5,12:11:30 AM
0.47,12:11:40 AM
0.44,12:11:50 AM
0.41,12:12:00 AM
0.38,12:12:10 AM
0.35,12:12:20 AM
0.32,12:12:30 AM
0.29,12:12:40 AM
0.26,12:12:50 AM
0.23,12:13:00 AM
0.2,12:13:10 AM
0.17,12:13:20 AM
0.14,12:13:30 AM
0.11,12:13:40 AM
0.08,12:13:50 AM
0.05,12:14:00 AM
0,12:14:10 AM
0,12:14:20 AM
0,12:14:30 AM
0,12:14:40 AM
0,12:14:50 AM
0,12:15:00 AM
0,12:15:10 AM
0,12:15:20 AM
0,12:15:30 AM
0,12:15:40 AM
0,12:15:50 AM
0,12:16:00 AM
0,12:16:10 AM
0,12:16:20 AM
0,12:16:30 AM
